#Archive/File	Name	Time	Size	Type
Archive	GSE111015_RAW.tar	02/22/2019 11:45:53	21011619840	TAR
File	GSM3020217_ATAC-seq_ND-1_Bcell.bigWig	02/20/2018 07:49:37	130481058	BIGWIG
File	GSM3020218_ATAC-seq_ND-2_Bcell.bigWig	02/20/2018 09:10:11	160156202	BIGWIG
File	GSM3020219_ATAC-seq_ND-3_Bcell.bigWig	02/20/2018 09:34:17	162624452	BIGWIG
File	GSM3020220_ATAC-seq_ND-1_CD4Tcell.bigWig	02/20/2018 07:56:31	190544594	BIGWIG
File	GSM3020221_ATAC-seq_ND-2_CD4Tcell.bigWig	02/20/2018 09:10:46	60966516	BIGWIG
File	GSM3020222_ATAC-seq_ND-3_CD4Tcell.bigWig	02/20/2018 09:44:17	134506343	BIGWIG
File	GSM3020223_ATAC-seq_ND-1_CD8Tcell.bigWig	02/20/2018 08:50:39	178120925	BIGWIG
File	GSM3020224_ATAC-seq_ND-2_CD8Tcell.bigWig	02/20/2018 09:12:47	137346031	BIGWIG
File	GSM3020225_ATAC-seq_ND-3_CD8Tcell.bigWig	02/20/2018 09:45:52	153861413	BIGWIG
File	GSM3020226_ATAC-seq_ND-1_NaiveBcell.bigWig	02/20/2018 08:51:52	128325582	BIGWIG
File	GSM3020227_ATAC-seq_ND-2_NaiveBcell.bigWig	02/20/2018 09:20:34	133047018	BIGWIG
File	GSM3020228_ATAC-seq_ND-3_NaiveBcell.bigWig	02/20/2018 09:47:11	138388812	BIGWIG
File	GSM3020229_ATAC-seq_ND-1_SwitchedBcell.bigWig	02/20/2018 08:58:58	44279132	BIGWIG
File	GSM3020230_ATAC-seq_ND-2_SwitchedBcell.bigWig	02/20/2018 09:23:39	100647412	BIGWIG
File	GSM3020231_ATAC-seq_ND-3_SwitchedBcell.bigWig	02/20/2018 09:56:32	144523474	BIGWIG
File	GSM3020232_ATAC-seq_ND-1_Tcell.bigWig	02/20/2018 09:00:22	162024463	BIGWIG
File	GSM3020233_ATAC-seq_ND-2_Tcell.bigWig	02/20/2018 09:28:07	123136680	BIGWIG
File	GSM3020234_ATAC-seq_ND-3_Tcell.bigWig	02/20/2018 09:57:14	71922801	BIGWIG
File	GSM3020235_ATAC-seq_ND-1_UnswitchedBcell.bigWig	02/20/2018 09:01:09	79100724	BIGWIG
File	GSM3020236_ATAC-seq_ND-2_UnswitchedBcell.bigWig	02/20/2018 09:31:46	40924683	BIGWIG
File	GSM3020237_ATAC-seq_ND-3_UnswitchedBcell.bigWig	02/20/2018 10:00:12	114915128	BIGWIG
File	GSM3020238_ATAC-seq_CLL1_0d_Bcell.bigWig	02/19/2018 08:46:47	208626355	BIGWIG
File	GSM3020238_ATAC-seq_CLL1_0d_Bcell.peaks.narrowPeak.gz	02/22/2018 13:35:34	1531044	NARROWPEAK
File	GSM3020239_ATAC-seq_CLL1_3d_Bcell.bigWig	02/19/2018 08:46:34	25201341	BIGWIG
File	GSM3020239_ATAC-seq_CLL1_3d_Bcell.peaks.narrowPeak.gz	02/22/2018 13:35:34	247760	NARROWPEAK
File	GSM3020240_ATAC-seq_CLL1_120d_Bcell.bigWig	02/19/2018 08:47:01	91525802	BIGWIG
File	GSM3020240_ATAC-seq_CLL1_120d_Bcell.peaks.narrowPeak.gz	02/22/2018 13:35:34	368740	NARROWPEAK
File	GSM3020241_ATAC-seq_CLL1_0d_CD4.bigWig	02/19/2018 08:46:55	159201779	BIGWIG
File	GSM3020241_ATAC-seq_CLL1_0d_CD4.peaks.narrowPeak.gz	02/22/2018 13:35:34	1056495	NARROWPEAK
File	GSM3020242_ATAC-seq_CLL1_3d_CD4.bigWig	02/19/2018 08:47:00	126177365	BIGWIG
File	GSM3020242_ATAC-seq_CLL1_3d_CD4.peaks.narrowPeak.gz	02/22/2018 13:35:35	1118211	NARROWPEAK
